# Sum of execution time of kmeans ; number of kmeans calls
# 45.882408;801
# Now the Centroids:
189650370560.000000;4340017.000000
204852117504.000000;4927696.500000
205704609792.000000;5000805.000000
210039324672.000000;5044011.000000
210174214144.000000;5152481.500000
